frequency_MHz,psd_dB
2412.2988,-23.15
2412.3086,-22.95
2412.3184,-22.71
2412.3281,-22.47
2412.3379,-22.33
2412.3477,-22.19
2412.3574,-22.15
2412.3672,-22.11
2412.3770,-22.13
2412.3867,-22.16
2412.3965,-22.19
2412.4062,-22.22
2412.4160,-21.97
2412.4258,-21.72
2412.4355,-21.72
2412.4453,-21.73
2412.4551,-21.79
2412.4648,-21.84
2412.4746,-21.81
2412.4844,-21.78
2412.4941,-21.75
2412.5039,-21.72
2412.5137,-21.61
2412.5234,-21.50
2412.5332,-21.40
2412.5430,-21.30
2412.5527,-21.08
2412.5625,-20.87
2412.5723,-21.06
2412.5820,-21.24
2412.5918,-21.17
2412.6016,-21.09
2412.6113,-20.94
2412.6211,-20.79
2412.6309,-20.71
2412.6406,-20.62
2412.6504,-20.61
2412.6602,-20.60
2412.6699,-20.72
2412.6797,-20.84
2412.6895,-20.96
2412.6992,-21.08
2412.7090,-20.80
2412.7188,-20.53
2412.7285,-20.67
2412.7383,-20.81
2412.7480,-20.93
2412.7578,-21.05
2412.7676,-20.97
2412.7773,-20.90
2412.7871,-20.89
2412.7969,-20.89
2412.8066,-20.83
2412.8164,-20.76
2412.8262,-20.84
2412.8359,-20.92
2412.8457,-20.88
2412.8555,-20.84
2412.8652,-20.82
2412.8750,-20.81
2412.8848,-21.13
2412.8945,-21.45
2412.9043,-21.47
2412.9141,-21.49
2412.9238,-21.32
2412.9336,-21.16
2412.9434,-21.22
2412.9531,-21.28
2412.9629,-21.41
2412.9727,-21.54
2412.9824,-21.71
2412.9922,-21.88
2413.0020,-21.87
2413.0117,-21.87
2413.0215,-21.80
2413.0312,-21.73
2413.0410,-21.70
2413.0508,-21.67
2413.0605,-21.84
2413.0703,-22.01
2413.0801,-22.13
2413.0898,-22.25
2413.0996,-22.09
2413.1094,-21.93
2413.1191,-21.73
2413.1289,-21.52
2413.1387,-21.65
2413.1484,-21.79
2413.1582,-21.67
2413.1680,-21.56
2413.1777,-21.54
2413.1875,-21.53
2413.1973,-21.56
2413.2070,-21.60
2413.2168,-21.65
2413.2266,-21.70
2413.2363,-21.76
2413.2461,-21.81
2413.2559,-21.59
2413.2656,-21.38
2413.2754,-21.59
2413.2852,-21.80
2413.2949,-21.90
2413.3047,-22.00
2413.3145,-21.89
2413.3242,-21.78
2413.3340,-21.77
2413.3438,-21.76
2413.3535,-21.80
2413.3633,-21.83
2413.3730,-21.86
2413.3828,-21.88
2413.3926,-21.92
2413.4023,-21.96
2413.4121,-21.75
2413.4219,-21.54
2413.4316,-21.40
2413.4414,-21.25
2413.4512,-21.27
2413.4609,-21.30
2413.4707,-21.21
2413.4805,-21.11
